Start,End,Open,High,Low,Close,Volume,Market Cap
2017-12-01,2017-12-02,446.68746677,473.461462736,428.973481799,465.688648013,1071946882.5115488,43070453300.58927
2017-11-30,2017-12-01,431.50586235,465.240586577,403.099585064,447.889008252,1803252298.4171972,42094229048.9921
2017-11-29,2017-11-30,476.675484307,524.356285055,427.233001468,427.233001468,1497273126.8887105,45938028873.492584
2017-11-28,2017-11-29,482.13880362,484.840974711,466.826171575,475.903298648,964205966.0552292,45735783895.385475
2017-11-27,2017-11-28,472.651256633,494.821967015,469.035663285,482.126582928,1035827091.2728254,46063949302.05666
2017-11-26,2017-11-27,467.579215469,473.606110761,453.905927168,472.546411116,924293827.8512878,44263277098.43155
2017-11-25,2017-11-26,474.884427085,484.526870353,462.121245916,467.685790105,1700147883.6245537,45236443741.71458
2017-11-24,2017-11-25,410.682151945,479.252359997,403.970819833,473.39867064,1598152348.3934476,41753591397.4045
2017-11-23,2017-11-24,379.228144737,426.461496019,374.912726276,411.185122873,1032364427.8704985,38419748817.97228
2017-11-22,2017-11-23,360.774872535,379.375184994,360.774872535,378.830611199,553333595.136529,35109142513.95498
2017-11-21,2017-11-22,365.87087031,370.87558249,350.978176734,360.679181406,787133843.5081146,35059568069.76398
2017-11-20,2017-11-21,353.247623928,370.592106765,352.351041183,366.092975829,735660805.6812575,34545443583.39715
2017-11-19,2017-11-20,346.597660665,368.917269214,344.542757204,353.760604958,840060152.4819465,33998674908.975746
2017-11-18,2017-11-19,331.393269733,349.172839252,327.073623841,347.158113669,460652227.131648,32056968995.31689
2017-11-17,2017-11-18,330.45276652,335.346957524,327.42014479,332.332092464,620955714.3877014,31700816192.375225
2017-11-16,2017-11-17,334.286666271,335.72566383,324.485744955,330.273028567,548134331.8583645,31530137524.682285
2017-11-15,2017-11-16,337.954512409,341.519826647,331.165804205,334.151941501,722007863.0496937,32187928463.996113
2017-11-14,2017-11-15,317.815597777,339.34887801,317.815597777,337.57159644,829348110.987596,31354967356.193375
2017-11-13,2017-11-14,310.523252784,332.009498155,310.17651671,317.817837803,1135068570.9283164,30114979518.783195
2017-11-12,2017-11-13,314.595002596,321.243049852,299.418663201,310.434588537,1017162128.6552845,29534301364.498936
2017-11-11,2017-11-12,298.812641106,320.076258572,297.431629401,314.557641115,695902126.1504091,29271947001.202034
2017-11-10,2017-11-11,321.551779372,323.625440872,294.772519616,299.562784671,704803813.403361,29744460939.071712
2017-11-09,2017-11-10,308.424683751,329.803234845,307.449920375,321.206715198,916193852.479269,30315682411.922775
2017-11-08,2017-11-09,294.591302305,319.507822857,293.55504785,309.877384244,484581973.48309296,28736785393.556255
2017-11-07,2017-11-08,300.365059367,305.858262353,289.641898021,294.915688975,428239686.5272049,28313543437.222847
2017-11-06,2017-11-07,292.421827301,306.620296096,290.437244439,300.383550462,334799976.71432084,28838193807.41559
2017-11-05,2017-11-06,300.747345206,300.784658784,291.107529261,291.933178752,257007936.61648598,28370342250.706444
2017-11-04,2017-11-05,305.96821015,305.96821015,296.862374624,300.501830587,434572535.82537043,28757651025.29212
2017-11-03,2017-11-04,287.565504854,308.463697929,287.008137517,304.688680712,570785762.4384822,28460605237.008785
2017-11-02,2017-11-03,292.63079497,295.441585576,282.670603019,285.406679444,634024746.8791885,27412394534.950607
2017-11-01,2017-11-02,301.856266204,305.342285947,291.671871907,292.024883827,348739577.1622718,28944128362.74764
2017-10-31,2017-11-01,302.633870645,305.075921648,300.503486407,302.333909192,257264483.43013337,29325855477.021545
2017-10-30,2017-10-31,303.478898364,309.545170057,301.694386438,302.729732547,387421791.03629726,29208008625.28857
2017-10-29,2017-10-30,295.726108927,311.221129219,295.726108927,303.924248116,295689163.00650305,28880996050.441425
2017-10-28,2017-10-29,296.15422896,299.05607756,291.472578811,295.743887718,191348960.71539408,28326366135.978786
2017-10-27,2017-10-28,296.391030911,299.210803724,294.422128456,295.558880086,196901366.2355992,28315768008.876297
2017-10-26,2017-10-27,296.783974164,298.476619902,293.652056953,296.346265776,214586076.07360506,28347138331.532352
2017-10-25,2017-10-26,298.294710752,301.639912114,291.541959085,296.947125422,343749997.961907,28294823486.166756
2017-10-24,2017-10-25,286.466075713,310.816368246,282.219445127,298.150276605,625394852.585096,29007492398.46816
2017-10-23,2017-10-24,295.808605825,295.808605825,279.218846461,286.518233294,298479368.12546897,27309930580.016785
2017-10-22,2017-10-23,299.082380334,304.13235413,292.767142069,295.586271962,303108213.0550801,28406494416.869576
2017-10-21,2017-10-22,303.460265905,303.827059805,293.123467878,299.010706715,356941385.7182083,28480786281.191948
2017-10-20,2017-10-21,307.214842806,309.92153722,302.116947983,303.577753021,267373144.40606695,29212640754.570183
2017-10-19,2017-10-20,314.303269163,316.521604027,305.672073316,307.354550374,401589561.87634206,29531532227.167923
2017-10-18,2017-10-19,317.191787789,317.191787789,293.625286954,314.562965573,435905774.28294754,29115475326.92949
2017-10-17,2017-10-18,332.586099881,332.837458708,311.991965957,317.124947357,407771701.0959193,30886884254.330196
2017-10-16,2017-10-17,335.163786115,347.788767884,331.740075915,332.442126186,599787079.7399806,32328362465.309135
2017-10-15,2017-10-16,338.100024683,340.924284479,317.721288598,334.306630152,294041028.589554,31762184483.937912
2017-10-14,2017-10-15,338.878741948,346.759174808,333.556063309,337.770502196,419297728.7885324,32493681337.40369
2017-10-13,2017-10-14,305.156881768,348.133902249,303.123159204,338.774903605,478264997.03213507,31201707030.387028
2017-10-12,2017-10-13,303.080417318,308.313744251,302.621920355,305.086861367,227339745.16630268,29123125219.412487
2017-10-11,2017-10-12,300.559149537,304.241927894,299.535307137,302.938342534,270450879.03483874,28773084391.227325
2017-10-10,2017-10-11,297.500215076,305.865938748,293.787893253,300.275407717,451829981.35487604,28541991368.505
2017-10-09,2017-10-10,309.704204729,309.775650239,263.518689756,296.996159982,364090464.79537237,28564974258.92779
