Start,End,Open,High,Low,Close,Volume,Market Cap
2017-05-07,2017-05-08,7.27015,7.54519,6.92708,7.09178,31423463.888888888,664329453.6308112
2017-05-06,2017-05-07,7.53191,7.58469,6.98201,7.22636,39458922.29965157,664189703.5470034
2017-05-05,2017-05-06,7.63049,8.09699,7.30936,7.54752,69237755.05226481,710726273.4596301
2017-05-04,2017-05-05,6.66565,7.53793,6.66565,7.53793,47304819.44444445,649889832.279073
2017-05-03,2017-05-04,6.58451,6.84807,6.44454,6.67229,42147111.80555555,598318796.8527163
2017-05-02,2017-05-03,6.88515,7.06208,6.22456,6.58695,95788160.6271777,614602746.6171408
2017-05-01,2017-05-02,6.51635,7.64257,6.24045,6.85993,99592233.33333333,616536816.872171
2017-04-30,2017-05-01,5.41729,6.60525,5.33287,6.59013,56674677.43055555,541187408.5991431
2017-04-29,2017-04-30,4.84418,5.42969,4.82992,5.4185,21741567.708333332,465872277.8855456
2017-04-28,2017-04-29,4.94634,5.08719,4.61413,4.83477,40174081.18466899,442319124.1707498
2017-04-27,2017-04-28,4.58719,5.11451,4.58712,4.93484,63618936.11111111,444193878.3622437
2017-04-26,2017-04-27,3.9606,4.637,3.92401,4.58759,30978815.972222224,381822637.5417378
2017-04-25,2017-04-26,4.04832,4.12602,3.82815,3.9582,31358391.289198607,363761859.7332464
2017-04-24,2017-04-25,3.53771,4.1129,3.53771,4.05451,36416603.472222224,356759360.8301574
2017-04-23,2017-04-24,3.23089,3.52444,3.1852,3.52444,10111400.451388888,301348010.6886049
2017-04-22,2017-04-23,3.18148,3.25557,3.17409,3.22982,8196628.194444444,292123498.5421438
2017-04-21,2017-04-22,3.27811,3.36295,3.14044,3.18622,20474045.644599304,294629154.34131676
2017-04-20,2017-04-21,3.1444,3.47167,3.0962,3.27118,23626694.097222224,295922943.49308527
2017-04-19,2017-04-20,2.88552,3.28751,2.81814,3.14093,14500263.194444444,269509255.1448364
2017-04-18,2017-04-19,2.61763,2.95861,2.61247,2.88533,5602464.076655053,247314585.46101612
2017-04-17,2017-04-18,2.62609,2.64562,2.58979,2.62011,3439588.75,237019871.05744
2017-04-16,2017-04-17,2.67902,2.68871,2.61364,2.64064,3501496.0069444445,239309915.3698084
2017-04-15,2017-04-16,2.64385,2.68357,2.61577,2.67865,5887748.715277778,239191946.73489204
2017-04-14,2017-04-15,2.62402,2.69674,2.54962,2.64498,4448141.463414635,235996253.5318364
2017-04-13,2017-04-14,2.61835,2.66313,2.5982,2.62094,5005182.673611111,238354806.93747908
2017-04-12,2017-04-13,2.53527,2.66009,2.52355,2.62015,3680218.159722222,233919469.1334896
2017-04-11,2017-04-12,2.60254,2.60254,2.53656,2.53656,4076438.3275261326,232996355.2882641
2017-04-10,2017-04-11,2.64394,2.64602,2.53013,2.59853,6295101.388888889,233698446.1792875
2017-04-09,2017-04-10,2.71552,2.71866,2.58212,2.64071,4969881.875,240629324.1201892
2017-04-08,2017-04-09,2.7316,2.77327,2.62628,2.71535,7192273.506944444,241404227.64669466
2017-04-07,2017-04-08,2.67574,2.73581,2.55789,2.73581,8092214.285714285,236479206.47580948
