,ACCOUNT_ID,CURRENCY_TYPE,Aggregate_Amount_In_Wallet
0,0042dfbc7cf8c6792238a3a26b08cb82,ETH,-2.2128691146399855
1,004ea8c1e77f514c929608a7b64f3154,BTC,-1.04873744468
2,00933f73f7f29ec5cf2fc878a2c33f0a,BTC,0.0
3,009aa4a96d37e6478a6cfe218075bec2,BTC,-634.49558760975
4,00a98554299be4a0cb650c523c295553,BTC,-15.292730045539999
5,00ce08242dffdf228fb4db0c9c1edf46,BTC,-12.007992699999999
6,00e32be9424801b7434f5464f3715a98,BTC,-536.2572578084371
7,0106a158591861adb956113be96234da,BTC,-1494.2963538015001
8,012a32d1dc1948c1dbd278cdd42d0102,BTC,-7.089745665599996
9,014653b27187340568c22ab26956aba6,BTC,-7953.569296859531
10,020418ae7010c2e2edce288f99fd1269,ETH,-86.47450758505
11,025266de11bf734f2f47e29bc317697e,LTC,-2413.685783143448
12,02545f67109049ed47e8dc2ce2d1d072,ETH,-513.46061334833
13,025ef561a7e01acc92eb066c7ec8da99,BTC,-0.274403
14,026e8da592fcb73e0898f58a1cbb3d97,LTC,-1030.95
15,0277753714e1429d423cd68d80071f59,ETH,-11607.758259903265
16,0283bb650e3cda63b20b195089d71a09,BTC,-0.9240198075000019
17,028f919d30c754a55186801ccb9aa43a,ETH,-2649.1020726396664
18,029d1279a452435c762dd7f67560061c,LTC,-53.227101316602
19,02d071858d4c70658a4869781116d148,BTC,-502.57827348422
20,02f4fbbdc7829d4480ac729f5d952610,BTC,-0.0371419
21,030e98e818b0abbbb22beade6e8f4bd9,LTC,-293.273038006281
22,03cccc88856b8efe76e3aa79bcd5d9b9,BTC,-6008.159635332489
23,03ccfcce479620a4c7f63dcf2a7a31d2,ETH,-1536.0058
24,03e95d1e0fb5fb2478ff2b480092bd70,BTC,-0.0380316
25,03e9de4513c4f16b3f83913e65071364,BTC,-117.42498313280001
26,04017fb338c75ba1db981cc860640b6d,LTC,-326.338833485412
27,043b0703fca92d6801f1c84ac9b6ed25,ETH,-279.4990072545671
28,04695544275742dab462910341306c8c,BTC,-0.2847498623999958
29,047c57b1a6c5f30be6fba235dc4eae1b,BTC,-0.0403198
30,050915a41a1f3e7edc032104afaf7f18,BTC,0.0
31,05354d29a9d37100137a814c034350fd,BTC,-4004.2925240681
32,0542cac1179c5ac9dd35293ac5ee1b17,BTC,-0.0225827
33,05515facbc07443942375e3d8d830ecf,ETH,-2795.2862580638503
34,0589291f31d1ec88600091da60b912a4,ETH,-317.526274493129
35,05a1c6a2d19bea7c3f74c88d56f92f15,ETH,0.0
36,05ad758d8ca296e47f9b36bfcbea4345,BTC,-4.292164128420001
37,05b6e6ee77ca5545130917c7d23c75c3,BTC,-0.00082945
38,05e2b1dc6d66619873aaddb6578b9e22,BTC,-15.350281536979997
39,060acad6e49bb65204564af7b26a19d4,BTC,-49.565342460000004
40,06586dd40ca823cf44c4505846a005ce,BTC,-431.8197500936
41,065b077bc8a3a5a8cc2d8384e6edbed1,BTC,-54.912732219999995
42,06941e97cc2445a33b8728c812fddc4c,ETH,-278.46450379096
43,06c0487b11bbf3a5743187adf1a8f94d,LTC,-140.4084
44,06ccbe8726a8695044068266daa34068,BTC,-17.409568848
45,06e10857fb6b6d8ad228722c3b775c76,BTC,-8.26e-05
46,06e77e01d2972ac7a6adfb2b40f7e328,BTC,-0.023065600000000002
47,06ee64e6e310b5109c369539e66fe634,BTC,-0.0403198
48,06f324a8f10e7f0ac90f3548267a9b9b,BTC,-22.5355651208
49,071f17d3d5dd948dd43444b1321c2dbb,BTC,-1393.9209672387701
50,0750a4423a53f6eb7a65bdf8d7140077,ETH,-18618.36583166405
51,075217a751ae5d8d978224e8c804dfee,LTC,0.0
52,0757c565fe0aef66f5f1240f871b471b,ETH,-1819.1209051120002
53,07608fb92084697f30a6659a727d4ab3,BTC,0.0
54,077aada2fa2153ad3c729755fc514279,BTC,-300.77440095954
55,07addf20a5d0d55714cafd206e044644,BTC,-204.5914717499999
56,07b3c4dc790a0f27203a542a530ae0fd,BTC,-150.5385591662
57,07d81690e4ef3eb635932ddcfe1cfb0c,BTC,-510.54301332269995
58,0813da82a58038847be3d07abab37a7c,BTC,-0.021505000000000003
59,0869fdedebb4c9639336e6f80cecacb0,BTC,0.0
60,086c0164857620c5550dd70e55856aa9,ETH,-28.14862025995001
61,086e848cdac434886e025c916d8a824d,BTC,-743.087436203
62,08aa96a9d2252e77b9a4a8c56e59bdbd,BTC,-46.72507783078171
63,08c629c3288f73c3ce351bb959a4b557,BTC,-495.86332486955996
64,08cde8c99e0e06da3e09b9afa1550ccf,ETH,-15813.576321253862
65,08e6571bbdf6637b2afe3905a565c85f,BTC,0.0
66,08f7c7f38f5f1e819eeb0ce459707106,ETH,-173.65469344153
67,08f987607bdac4de3ab7073db6497376,ETH,-193.34587382112002
68,09024caaccee91ce886181ea3b9d13ed,LTC,-132.0154
69,090c4b4e01e6f1761e4d74b37dee456c,BTC,-110.01788798259999
70,091282825a40fb68628797716c1d4ab6,ETH,-633.4384286212301
71,0914c1b544bb8043da7a4ac50b73cc95,BTC,-1669.7665899767999
72,09452a955482c11d9060ee470a3c188f,BTC,-0.042178
73,095ee8adf2b0142e9631cfc2d3c5d24b,BTC,-0.0403198
74,097c52f7e7bc950ccfb330a4176a964b,ETH,-30552.938737262055
75,09a979c2821a278dd3a896a393095cf6,LTC,-484.319542923762
76,0a4a3399dac016b003ce1ba300ae9db5,ETH,-154.27605905936002
77,0a5e0c105426d5c2a730fcbcc62ce3af,BTC,-53.97541562490001
78,0a6c16371d046154a055dc2b3e8b942e,BTC,-51.39301555815
79,0b12941205fc11c013c54dcb46e84043,LTC,-51.52064325971901
80,0b854be49d9ccb72f637afec83d148ad,ETH,-540.1966033240101
81,0b8cb3b35bb23d0b010aa8f3a99e0a36,BTC,-103.172260675
82,0ba0f1aa87d03ebd9e3ed1e44da03bc2,LTC,-4322.530290640948
83,0bbf26371a1bbaa55b79b554978b4276,BTC,0.0
84,0bdc2980e3f54eb6e5f70f763c4c322c,BTC,-1.00861562
85,0bf9521f5e594565b68f6a87843aa67f,ETH,-3.0522793602930003
86,0bfa4c26a61a28d3b54a74a0f0f9f02e,ETH,-507.27818835612004
87,0c8a240de0dd6ea3cab5295b1db1f84e,BTC,-0.07938952998
88,0ca76268c59dffe39617e56d0135b03a,ETH,-679.23756897944
89,0d0a42380c582c265253073564fd239b,BTC,-0.0247289
90,0d0d76b6aa5f79e3685218f3b24a245b,BTC,-24.81071799643
91,0d34b0cae4f7602ced30d2bd3200369d,BTC,-0.0403198
92,0d5613502337be16fbc4c17479c567e1,ETH,-65674.44934634551
93,0d5cf89d561df33dae1252215421d6c4,LTC,-1965.799358663955
94,0d754beeb4239574342b136a383110ff,BTC,-9.886357942699998
95,0da232720a44bff9236112c81bd03134,LTC,-0.41536368425698866
96,0e2103490502f6680e2db86b23c15634,BTC,-2115.2302390481495
97,0e4b741b41b5b0ec7ae681a3d48879cb,BTC,-2673.8313113292
98,0e5fded511ded60d2807c18bf5de3a3a,ETH,-20919.165400049842
99,0ea0e2a7b6d03c6a945165d326062296,BTC,-0.41395267441000005
100,0eb74eb4ede057f8eb8b5f3af33b033d,BTC,-1870.3589265287505
101,0efdbb057b98fbf14538dbf132ec124e,BTC,-1729.6000520233913
102,0efde70de00f34d7b7fa24104f5d6af9,ETH,0.0
103,0f3e4b59f2452fa26b610bf2eb26cb09,BTC,-2397.3623753709003
104,0f63161b537c2fa5eb243f15fc1ce3e5,BTC,-0.9997088000000001
105,0f6857a7a2d89ddc0fd2822464f8e253,ETH,-740.07995053427
106,0f8bac270001e6bfdb2c1c1be23ed11e,BTC,-0.027059600000000003
107,100cf4946faca89c0dc26a8d65e352bc,BTC,-15755.245297471665
108,10153093ccd46ff2bcf8974a1a14f26a,ETH,-62.28864288496
109,101531c4a506d6da26deafcdc779b63d,BTC,-141.9740935876
110,102bda2b144551ed351269d6a35aed45,BTC,-155.06703
111,1031f19d2d7b3421d573b98c23f7797f,LTC,-1593.5986160335729
112,104e1f1e0b79b65b304fa017380baa72,BTC,-7558.161840015509
113,1060a270ae340cf8a6a05fd9c988b937,BTC,-9.90275688
114,108a594d7bb9e1d259fb615550f17ea5,LTC,-852.6555
115,108a93cf15d7af24ce43a3ba066e8b0d,ETH,-421.82512027919995
116,10da5ba7c0c94c80c67811bea31b014a,BTC,-228.414
117,11386078a5648298202929293c64bfb6,LTC,-5274.2348948878225
118,114c1657e7872891b1828692f761291a,BTC,-5.281295216399992
119,114fc48d071b1d50f10d93e5d4408d04,BTC,-80.2556704737
120,118c148ac826db183d833e01bdde023b,BTC,-0.0434394
121,11bb7ff4f19d6953f117b5e417e9c026,ETH,-686.7566107
122,11e0450168477f7eb3a236df247ff0a1,ETH,-111.10500945198
123,11e9d7e574fe9ff1620c22ed3b56f9e4,LTC,-171.42660445735999
124,1210e574df66420ed9ab26a2cb4f58a9,BTC,-412.34135519785997
125,121ce88f21edd6b520ee46aca51d9b78,BTC,-205.38898364
126,122139933c03e5b402b1560b4669a9be,BTC,-234.073464
127,124b0ece755e785433729ef647bd9d53,BTC,-9763.72003855462
128,127063b11b7e9dc0ea3e3a709042beeb,BTC,-20.02509419515
129,12770202575af97eae2f2bd630f64f69,BTC,-1327.8597867910103
130,1283024c4abf20d997a5abb10522b612,BTC,-0.0229689
131,1331b134e589d6d52941a3ee40e054ba,BTC,-0.7418688353100055
132,133227ddd21a741d23c324d9e1e5b575,BTC,-0.0293156
133,134d14bc39d51e909e175b4457e8e1af,BTC,-2.4345240010475698e-05
134,1364a6f3b0b49fe171caf61b0bdf525a,BTC,-9.9960822
135,13ac2f54ab6294ac9b225b0450fe155c,ETH,-4629.19491916472
136,150caad67bf76cded2a7d4938b753657,BTC,-89174.8264111075
137,153bb275871c1869e37964a160ae1052,ETH,-3939.615433711222
138,15731bed5ae3494acdd83348c36761ab,ETH,-1149.34950044444
139,1586ed9819a8c082eeb89141e938b6f5,BTC,-747.3497406969001
140,15d918275e3001dcb5e95e1bf5547a05,BTC,-95.12076242391636
141,165128d2c61d21067a5481114f8a98ac,LTC,-892.2079318796
142,166a7bb851ad2c3b61947b45a0f481d1,LTC,-303.840808322025
143,1672bd702c8b135a4f506bc6784f9da4,BTC,-0.044337485999999995
144,16b576117facc61c727b735b9d42519e,BTC,-0.023654900000000003
145,16b8e822a512ce4f088a41765618529e,BTC,-0.006831439999999999
146,16c0c9bd15ae73c0b8a1a60bed371e83,BTC,0.0
147,16c77d38d5a4e180f39953283bf477fb,ETH,-181.31790079486
148,16d319321c8f7d737e4c446debfbef7b,BTC,-2.6339513199999995
149,16f819353312ef3fb956e45eb775c7e1,LTC,-6818.444004103458
150,170fd40bf89a25e83586079d8f01ced8,BTC,-3667.651
151,171143599dcc6f1bc18a36db7d53ca6c,ETH,0.0
152,1769f0abb121b3c6112c6989949a0b4f,BTC,-2784.1541259337
153,179dc6a28233d386ccdf8a74292c826a,BTC,0.0
154,17a637cb777f70dc62e10050da84ec24,BTC,-47.4049
155,17ff1088f9e4ec4aff029450426ca5d5,BTC,-0.038763700000000005
156,17ff346c68ab9f7ee15ecad6390a504e,LTC,-848.60082889127
157,18492cc3d3b17e9db5ecd8e7d347e8cb,BTC,-2.505463984499995
158,189da67cf78e78796d274cf0511fd00e,BTC,-0.76876690937
159,189edd18a999ee5dcf72b6553097ce22,BTC,-137.594739744
160,197bba269bf2a8c4c284c44367aa70ce,BTC,-24.0404051183
161,19b6fe27433fa188ac0957e67331e368,BTC,-19.82434121932
162,19b8e6d9c98d468ca690c46a7b4869ff,BTC,-0.10472400000000001
163,1a28fce9a098c297e87815bd24f12007,BTC,-34.918334353411
164,1a6f64d0f93593b5a0546208e74f1ace,BTC,-0.0453353
165,1a7000ddd25f57f2e27812239b24f3c7,LTC,-53.100838820908685
166,1a8ac4896517dbe6e89498ba06170a19,BTC,-8.294500000000001
167,1ad1c8e7468c4a8bc6d770cb2a2e96da,LTC,-13293.238408352809
168,1aea78e43963813bbab9b2da0e706151,LTC,-514.6922838280699
169,1b03084adb387957683f2f703c48e1b7,ETH,-1088.11172196
170,1b591acaceed6283cf8b313498b368fc,BTC,-157.8447255523144
171,1bb33dba859674d2cdb341ba9e57bf64,BTC,-1.8909674421281794e-16
172,1c3d7aceecb9ab5b98dbd8edde4d801a,BTC,-3471.2631462358595
173,1c4ede631282eec0953cba49dfcc86b2,ETH,-414.49287981802
174,1c6fcf78e5a1621cf63a9837ec8a786c,BTC,-9.562902
175,1c8d8c6e62968c9502c8adf29ab6a6f7,ETH,-376.4235137704201
176,1cca228a45163757ce601dfe5fb2afdd,BTC,-15.51459
177,1cdcbfa25efbddf6871a325cf4702312,ETH,-674.7565366311949
178,1ce56f9bb71335046c524b6cc5336e52,BTC,-61.6254903372
