,USER_ID,CURRENCY_TYPE,Aggregate_Amount_In_Wallet
0,0045d07aa8c56b25d078c2920219fed8,BTC,-9918.06663632792
1,00532657bb098803ee5b13b76ac739ed,ETH,-679.23756897944
2,006bae3ccde38fe8d5299c4123925b03,ETH,-2047.1424020906602
3,0086e30f8d8e1518156df8915269be34,BTC,-3.0896951663805796e-14
4,0086e30f8d8e1518156df8915269be34,ETH,-1915.30270257016
5,008793c7766aa0e097dfe58427b89389,BTC,-4004.2925240681
6,008793c7766aa0e097dfe58427b89389,ETH,-568.504
7,008793c7766aa0e097dfe58427b89389,LTC,-1047.609708997027
8,008c9db56b3ca8f4b7999c9d2d522d92,BTC,-348.669701364
9,008c9db56b3ca8f4b7999c9d2d522d92,LTC,-89.1349
10,00a0ce5819d991818ef208b80dcf4bd1,BTC,-1.04873744468
11,00a9c60d8ada9ea6b7c8c6b69501aed3,BTC,-942.6355148571299
12,015f3d430c65c962fb6bc8f7be2da503,BTC,-101.0118448752
13,016b9449d13f8cd1daadad398590c70b,BTC,-9.3969744
14,016b9449d13f8cd1daadad398590c70b,ETH,-220.075152846
15,017d8ca46b3cc4c8e8da5d5df0e5abe3,BTC,-18.753335793499996
16,01e8a2e7a4e57736df09c7807de66083,BTC,-9.6467448
17,01e8a2e7a4e57736df09c7807de66083,ETH,-1858.2849999999999
18,01ead172d89dcf96b536dc76f9e835b2,BTC,-0.0403198
19,01f99f82502b0579de53e98dd3c15c06,BTC,-1572.0351602691999
20,01f99f82502b0579de53e98dd3c15c06,ETH,-18785.595
21,01f99f82502b0579de53e98dd3c15c06,LTC,-4060.441242236144
22,0202c202afcf3dfc67e4a08bf17a4ee4,BTC,-0.06660308330000157
23,024525371a4ff934f58fbffd35a129df,BTC,-6279.105094493159
24,024525371a4ff934f58fbffd35a129df,ETH,-740.07995053427
25,02b3ac56fc650f992c3f68ceb3edfefc,BTC,-1879.2073288469905
26,02dfccf20904eaee49633aeb4d44adf0,BTC,-323.9669764785
27,02dfccf20904eaee49633aeb4d44adf0,ETH,-414.49287981802
28,02dfccf20904eaee49633aeb4d44adf0,LTC,-157.647528599484
29,032b9eca586459dc2d5b1bbdeb228c8f,BTC,0.0
30,0404795663f0281a0b539a65ed02d603,BTC,-9699.44
31,040eaeb37b98d04b5b6db6e9388cc994,BTC,-0.0450679
32,04ad74734d7bafe1823376610f59d5fc,LTC,0.0
33,0534cb3d8c58e07f1d54b102667bf3e8,BTC,-720.8430527396
34,0534cb3d8c58e07f1d54b102667bf3e8,ETH,-359.21673174925
35,0538a79f0588f57ab2df2c05996c4f62,BTC,0.0
36,05460fdf4361e1a43bb7b3f47acfffba,BTC,-488.74054139232
37,05460fdf4361e1a43bb7b3f47acfffba,ETH,-226.64303616538996
38,056cec273f01d7757ca925bfd38cf271,BTC,-1049.7712560774999
39,056cec273f01d7757ca925bfd38cf271,ETH,-7514.074276943849
40,056cec273f01d7757ca925bfd38cf271,LTC,-463.037613408629
41,05a5739881947bb5c455d7eebbf70e5d,BTC,-236.931727796
42,05a5739881947bb5c455d7eebbf70e5d,ETH,-540.1966033240101
43,05a5739881947bb5c455d7eebbf70e5d,LTC,-115.158142710312
44,0630825f119801ca90274cb8968946b3,ETH,-421.82512027919995
45,067c7285622245c385b261e28e16088a,BTC,-0.10890454100000001
46,068fd28d306c8793c7a419f85a09a1a6,BTC,-0.022580000000000003
47,06ddc401da2f5e3c6969c7a21273a341,BTC,-29473.859755801
48,06ddc401da2f5e3c6969c7a21273a341,ETH,-26215.5025031573
49,06ddc401da2f5e3c6969c7a21273a341,LTC,-328.2822
50,0786d4406e757ca28cc26954dc31ae48,BTC,-9329.46411093853
51,083743fdb35ded42d3b6cd68e2d3fa68,BTC,-143.59636340320003
52,084a152155a2f03b4abbb84e62e56866,ETH,-260.99702726144
53,084a152155a2f03b4abbb84e62e56866,LTC,-657.0384639633061
54,08a2564e8b0299daa763b823cce42755,BTC,-39.86298219514
55,08c1def55cf6880503336ba1f5234e37,BTC,-3291.9403162416497
56,097bd9dd47cde3bf62fede0ab072ef68,BTC,-2103.8634610259996
57,09a1bb3c43385b0674e47ccaf7278417,BTC,-0.044337485999999995
58,09c5e7c3356bf8336df6088be54481c8,BTC,-743.087436203
59,0a23653e68cdc58d7081d1535bba423f,BTC,-14301.310804888828
60,0a23653e68cdc58d7081d1535bba423f,ETH,-14073.237392949415
61,0a23653e68cdc58d7081d1535bba423f,LTC,-608.0435952324759
62,0abe6b278525b38cb4c1af6c50a3cded,BTC,-0.9978343459999999
63,0ae879c422d282d5dfe05194534b62f8,BTC,-0.042222300000000004
64,0b0c4105cc02f581c29c8930d06c6912,BTC,-3806.2107889956
65,0b0c4105cc02f581c29c8930d06c6912,ETH,-1189.3297251953
66,0b0c4105cc02f581c29c8930d06c6912,LTC,-189.61716424336902
67,0b1284959cf82719f2eee0b478909fdb,BTC,-141778.7746718925
68,0b260cf54761db050c660a62173b1da5,ETH,-1424.2167898401988
69,0b260cf54761db050c660a62173b1da5,LTC,-324.7568583746763
70,0b4339a6d42b0218acc903c7b876997a,BTC,-16.9636693234
71,0b4e1a6e58b9d9e5cdc61c4b12a1c91e,BTC,0.0
72,0b72d3f7d42cd93aaea83d819bb72b65,BTC,-0.0780178
73,0b819104b7757343e191bb2992db321e,BTC,-2.0740238161000017
74,0bad5fdedb0ddd1d2287039f6588c3c6,BTC,-19.3086309642
75,0bbef52284fd7c06a93c034090cc7ec9,ETH,-470.42696682912003
76,0bbef52284fd7c06a93c034090cc7ec9,LTC,-737.04497201703
77,0bc6ff0fd6e0408352e7635812bdcc1b,BTC,-5922.15375806928
78,0bc6ff0fd6e0408352e7635812bdcc1b,ETH,-18618.36583166405
79,0bce3a37e41aabdc48389916e8b2971e,BTC,-385.7163852624045
80,0bf6b91763432a35e94e6f1e19c9dee2,ETH,-1775.976
81,0bf6b91763432a35e94e6f1e19c9dee2,LTC,-475.869
82,0c5df2e47faf3b5dee8e041ce1c1f018,BTC,-38.1219661992
83,0c5df2e47faf3b5dee8e041ce1c1f018,ETH,-28.14862025995001
84,0c5df2e47faf3b5dee8e041ce1c1f018,LTC,-1915.754499954106
85,0cab77d877c86d3650188f2930c72812,BTC,-1841.7803851132
86,0cab77d877c86d3650188f2930c72812,ETH,-490.72338773222
87,0cab77d877c86d3650188f2930c72812,LTC,-92.916775368212
88,0e0c4e2fa70075d21e7f4faa6e1612a1,BTC,-431.5765468517299
89,0e0c4e2fa70075d21e7f4faa6e1612a1,ETH,-3.0522793602930003
90,0e44fa228e3e1b7dea2c5f58ac744e8b,BTC,-2.9401639789
91,0e46a3133940a800eafa3d9db70f51fd,BTC,-28077.2398822705
92,0e46a3133940a800eafa3d9db70f51fd,ETH,-774.28923784763
93,0ec7082165693eafca643cb727ae2d74,BTC,-47.89294386590001
94,0f36fd00238f57c52ca284770ddefaf5,BTC,-369512.0
95,0f391cd204bd31777ef8853d2112ffd8,BTC,-1.70987380773
96,0f676a57c0f9d1c6fc86b2f0d4ab01c4,BTC,-61.26989795189998
97,0f676a57c0f9d1c6fc86b2f0d4ab01c4,ETH,-2710.508778766044
98,0f676a57c0f9d1c6fc86b2f0d4ab01c4,LTC,-496.0502507525243
99,0fc655d273ec129c9c8c29b6b1337fff,BTC,-0.038515037
100,10022a67d99e53c2d78314b2eb83ec07,ETH,-4196.62537284913
101,10022a67d99e53c2d78314b2eb83ec07,LTC,-350.11754728017894
102,1017dec15693cd725c942d42484d982d,BTC,-0.3225850425
103,10949334381296f2224b899094a50815,BTC,-0.0247289
104,11014f3021c0cd5abe7e0dcea8f9192f,BTC,-24009.641871335036
105,1120523aa0ee28b06caf37564a26dbc3,BTC,-0.2969910657999835
106,113351fb32a0599e94b64a4b22b2d36a,ETH,0.0
107,11907e460d5be5726e1b2eabfe7694c6,BTC,-29.97585312
108,11c33ab06c3d4550fbed5a360f5fe4d5,BTC,-1159.7069000000001
109,11faec4ac2986d1aa1619bd0b7736d5a,BTC,-4.169519718000001
110,11fc6f83cbf7cce0efd3e597b1b6b53a,BTC,-98.54256890309
111,1239ed6422b303661e5b553e3019fcf8,BTC,-0.7426703035
112,124845fd51a739cdf386f70f36050f95,BTC,-12277.7806070649
113,1281c534d557441f03af871d9baab8fe,BTC,-28.59161356197
114,12bf0937717d8e910e1e914f3d97d2d1,BTC,0.0
115,132079a8696891c0884afd1b1b1d2e6e,BTC,0.0
116,13979a9cc2971376996a6e032790013d,BTC,-770.284824
117,13aa00d8936560ebefe35c5c57871739,BTC,-41.5905674093
118,13aa00d8936560ebefe35c5c57871739,ETH,-49.13560098176001
119,13aa00d8936560ebefe35c5c57871739,LTC,-44.0362
120,13d4a2285ffd695856e1cfb6e48610b4,BTC,-6546.224110633999
121,13de85cf9dc51d102844a3485a818e02,BTC,-115.29446863128
122,14051e5aa9c62eb4ff10b9509051f457,BTC,-98.49911882236002
123,143f4db31aa643706eed96c3a9d493f7,BTC,-260.7718899206
124,1474a5a74eddf80f23420340f8763513,BTC,-89.48318212105
125,1474a5a74eddf80f23420340f8763513,LTC,-48.28613759219999
