,USER_ID,LATEST_BTC_TRANSACTION_TIME
0,48e077a9a49d2fc5a1a42ed43f8371ae,2017-10-09 21:33:14
1,8254f76a6974079f0836d16ee84a7c02,2017-10-09 21:07:17
2,6a1bc97218233d0e37d37f91e9d7c720,2017-10-09 20:44:12
3,953435c68c869ae5e7168feaccf810a2,2017-10-09 20:20:22
4,f217e3b3bf80478d9e20a7af394c22c6,2017-10-09 19:52:19
5,378f0ad64a0811c4f3444528fb328943,2017-10-09 19:10:55
6,5867ac641fb362074ac1bc6dde7f0c5f,2017-10-09 18:45:16
7,6a4e1f76f8ab2c65bc6616ef7d7db904,2017-10-09 18:22:18
8,53a9176f484d28bacfed80c53c6ebbe1,2017-10-09 17:47:33
9,84c7e0eee31ba7ca5bcdb9781280cc70,2017-10-09 16:38:49
10,95060cd182ba5fa63ad3ba5fff7e7501,2017-10-09 14:54:25
11,395cef880decbb13dc52dc8a914dd1f7,2017-10-09 11:40:23
12,4dcae949219c6f885b9d62ed6ac1e97c,2017-10-09 10:50:26
13,6a092c1b4cdb7f1742c3a3719ab5929c,2017-10-09 10:11:30
14,e0a6cfa13eec972b25bf2e63a00ff669,2017-10-09 10:10:04
15,ca4172f864238e8578a415e215713ea6,2017-10-09 10:01:27
16,307348f8e195f044ab0bef28a2d78012,2017-10-09 08:02:22
17,62f72f59ffd7489c4e9181e21e372da0,2017-10-09 03:27:01
18,753f7ad5f109ed458b32386161a6e5a7,2017-10-09 02:26:56
19,cb59deb30b98273f9d2a07597024590b,2017-10-09 00:21:19
20,f5a59955e64c7ecc508218c8579bfb1d,2017-10-08 17:37:31
21,69dc6072b5194f84ae868a1f39d283a0,2017-10-08 16:30:20
22,ba5844dbda82c9b5fe9f08c8a923a3ab,2017-10-08 16:13:08
23,d8641499a4e3b6b5383f8bc7d31b8997,2017-10-08 15:56:59
24,fc973b1170853b6849dad1d20a521f9b,2017-10-08 14:09:25
25,9dc502d01dd5fcf1361bfd819f2c18e2,2017-10-08 05:41:08
26,fc8012bb606724ac1e60451126e49ca1,2017-10-08 03:47:30
27,89522d098b2becfb0abeff4e438873ea,2017-10-07 23:07:14
28,f8e2961d207af649a9cfdb9e0472ca20,2017-10-07 22:03:49
29,a9da47a9ae2e8c2d435e433e835f226d,2017-10-07 19:09:52
30,dcc54fb9dca40a6729a6863ae9db6723,2017-10-07 14:06:15
31,6d9333dcb868de360c50c33364e8ea2a,2017-10-07 12:04:58
32,bbb45a52e1a3bc9ac178a907c57d555b,2017-10-07 08:15:58
33,ea366c7f0e2957168fcf8f004fa7020d,2017-10-07 03:15:47
34,907aafae0fcfc370fbd7463c4ce989b7,2017-10-07 00:19:04
35,66a29344adca38d118f19dbdae8e632c,2017-10-06 15:40:45
36,49c0a65e8fc52a7902591d5be0316bbf,2017-10-06 13:08:23
