,USER_ID,TRANSACTED_CURRENCIES
102,1878074d79b16225edebeb1de8af6f0d,BTC
103,1885b00d55950beaaaa01907ff6e5873,BTC
104,18bc4d3962ea1876b8dbf03271866046,"BTC, ETH, LTC, USD"
105,18e3c55031b452fbde7db524bb1dcbc1,BTC
106,194da53d57e61994fe830faecbca258a,"BTC, ETH, EUR, LTC"
107,19c2a8575c962730b66bd9b776a1784d,"BTC, ETH"
108,1a1838f25a915e4febf3d10c389ddaf3,"BTC, ETH, EUR"
109,1a788e529544b6118db9e027bfd94dc5,"BTC, ETH, EUR"
110,1ad0b76eef6864ca4327687a971b3610,BTC
111,1b6637297fa5432bb56d0bbd34a1db99,BTC
112,1bbac35687f006d8d07a503c67832800,ETH
113,1bbc98a2871ac9241d4f2918b3d76d7a,BTC
114,1c2030d9d36d19e25ab2e9f201983f56,BTC
115,1c59f95a905b9a58b66fd6d4bf8b0807,BTC
116,1cc1aa484fe04f5001f25a4c60e5d814,"BTC, ETH, LTC, USD"
117,1ccab5a6fea0515badb7e0bd867ddbc2,"ETH, LTC, USD"
118,1cde2081a5960c10e5fcc0791237e2c2,BTC
119,1d54fc1a3aaae553eebf72f6a60e7951,BTC
120,1e8c1c00f3bb54db256dc1f9f51ac4d8,BTC
121,1e994d39e2a393800ddc4b34bfa12772,BTC
122,1eff7366e33c184a77cb2b41d61c2b65,"BTC, ETH, USD"
123,1f32d168f6f666508d42691adf78f909,BTC
124,1f3945cd8ed8bcffc50e37b2fa6ed99f,BTC
125,1f7902456171bcf9067f45a296c671bf,"BTC, ETH, EUR, LTC"
126,1f9643b58707de304a236be0af01dcaa,ETH
127,1fc5eea11608fc8b9f1726927ed5475a,BTC
128,1fd318f597e2f506575a5de4414efe62,BTC
129,1ff35ceb9a1c68d7780629b72acb3ebd,BTC
130,206a00b6ee66d7fd141c975515cf6b9b,BTC
131,206a3d09392c36500e98a45cd1bfd1ce,"BTC, USD"
132,20a340c088f1638c778a1cfcac4d8e77,"BTC, ETH, LTC, USD"
133,20a35c795fac46ba174c1dd588fd0ab4,BTC
134,20b165036985eaa56473d8655452c405,BTC
135,210547b96189ddac596fbdb286d69dae,BTC
136,21070780cdc7de6d563c6e11dd52e3ce,BTC
137,2127532494f9b784a4f1a79282409e04,"BTC, ETH"
138,2143bfcb2f6ab5ba4d60de001c97933e,BTC
139,2147626b7b251d8affe89bf16b5b98dc,BTC
140,2188d5b4938b584c4fd37fe5c4eac4a3,BTC
141,21d44acc58a1a251e1708ea3f1bfd4bd,BTC
142,22a851c6f72427bfdff8ff5000bcce7a,BTC
143,230119ee9e74e046b529be4ab364ea19,BTC
144,23af4a56e9f3e118eaae6771a80bad6e,BTC
145,23c03101ad044f6dcc90c73c736bf486,BTC
146,23e0ae86a02fa62e1a7dc0031ca966a8,BTC
147,23ffbc08f559bea25ec96382ec84f085,BTC
148,242a62a8d856f186ccae90c99661b525,"BTC, ETH, LTC"
149,248dd9fceb1954429626913d7ff1fafe,BTC
150,24af8ab16d12f02164d5cd5c97ed51c7,BTC
151,24dcca9ddc07d9852d6d7e664c25dac2,BTC
152,259ea2c9e25c5774af9aeb01f5dce269,BTC
153,25f0fccfa552efcf037053325136c23c,BTC
154,26624560b28e85ba688d5d1cf7901da1,BTC
155,2665b8ecc280a332fd7b1007bf4e0c37,"BTC, LTC, USD"
156,267860ac579d7aef4bd19b4a7ec82833,"BTC, LTC"
157,2695d364985ad73e9822fe2ba60d2c1c,BTC
158,26d2c2979af36d6c1a89b95533fb0294,BTC
159,2728a6faf3a6de76ca9fcb456f583dc8,BTC
160,273a2ed19dc4578f66f62fe8b44bd71d,ETH
161,27875b1ab58727a00044ef79e65fae13,ETH
162,2788932d81cbd8118468d761411676e0,BTC
163,279bce5720a714e570be039c1f8abd37,BTC
164,27dc8d15b5dcc8dd5f39eb8251d69570,"BTC, LTC"
165,27eb5c9d48b0664dc2bc52fe2d4cc4ea,BTC
166,28c6d03ee715c3c6a69cd960ca404123,"BTC, USD"
167,28c91e83d1689581f4baa69abc4aa8d9,BTC
168,29008caf4054fdd324e3875c0aa3558a,"BTC, LTC"
169,2964033fd7280ee5bc4596d94e2a805b,"BTC, ETH, LTC, USD"
170,296b2c722b31cc92bd18834a74b9f87a,LTC
171,298c236ee85597cc0522b6138e28c3f1,BTC
172,2995b860983b4210a6aee234f4bdbcb8,BTC
173,29b0762e7a610c3cc3f0f7283d3e7684,"BTC, LTC"
174,29c556a42a2cef4beb032d567e5e2359,"ETH, LTC"
175,29fe986ab58e3f43f552741587c232c0,"BTC, ETH"
176,2ab6d737db374322253b83f4487da789,BTC
177,2b495ebf929ec49af351009b68a44e9b,BTC
178,2b6ca40618d0e5be82474aec830c068a,ETH
179,2c0e1013099c3d972b85a531267becd6,"ETH, USD"
180,2c46814a1b1caa6dc12615f7b6a61df9,BTC
181,2c9c460195a6708ff185b563e63b03a8,BTC
182,2cafd1ff6e307b4d4065e167e494769b,"ETH, LTC"
183,2cc2841cbe1059b1c51308a6a9ccc393,BTC
184,2ce80c3a61fb715cf7b1b9489d14c518,BTC
185,2cf47c9cf6f339b429a440a3f66261fd,"BTC, EUR"
186,2d3ce8d1a5f086a4ee9efb36c5d1845e,ETH
187,2e0070a08ae926555bf28c6e00d9fa3e,BTC
188,2e4781a5b1a1fdedda28cbe09b703857,"BTC, ETH, LTC, USD"
189,2eb902dcc9cbefa27e1207587d0f257d,BTC
190,2f0d45217379a2f97f48409210597984,BTC
191,2f100201392d0619095f5390d134d45f,BTC
192,2f4b1a98419a3fe768604b48238a98a0,BTC
193,2f7a52043f001ca7c6ca747a0a606159,"BTC, ETH"
194,2fd4581f2a431aaeba734f78d6d9d595,BTC
195,2fdd6e64413686397b477468ec9f4d5a,"BTC, ETH, EUR, LTC"
196,2fe55a838eab8c7c15e34ddbe8a1fce7,BTC
197,306be2333f47737da1e6bd2ad2dd75d0,BTC
198,307348f8e195f044ab0bef28a2d78012,"BTC, LTC"
199,30cb24d10654e22c59651545d272d390,BTC
200,30f39c1cf24265871a2eef1fbb4d0d92,ETH
201,310204d63ce32e9d28d4acedaae2fe8b,"BTC, ETH"
202,314e8e26bd1e06441cafe5cfd927df72,"BTC, ETH, LTC"
203,3154e1e7fc457a3d8678ae42e2d2bc72,BTC
204,315a1fef6bcf42c7f16e132ba5e02566,BTC
205,3274f1d58900d6084144a3fb1a59e1f3,BTC
206,3286e322987948b372c08bbcc26d3534,BTC
207,3297c889a7f6a5581ed72c29e3e37e83,BTC
208,32a455245cbb05f1c00083520de927bc,"BTC, ETH, LTC"
209,32cc5ff2ead925d2dcf965ff03e2ef49,BTC
210,335628e71b3c6ef7fde37861b721934b,"BTC, ETH"
211,3363e29ba4ed27ac97959febf68b0938,"BTC, EUR"
212,337e15f1d3717b8b742e08c152728f1e,"BTC, ETH, LTC, USD"
213,338dd5ae56ead65c61da0f47171983a8,"BTC, ETH, LTC"
214,33e8cd3f3e8957fbb0d91428908f986a,"BTC, ETH"
215,33f115e5c15770e7b3c7dcb40b0a54a0,BTC
216,341386a89f0853895504ff92574d2044,BTC
217,3433956c9a994dff97079f1eb8718ab9,BTC
218,34bdda543a4c28366055a163830af789,LTC
219,34e2daf5587eb7b2aeac57e1bbc5c216,BTC
220,3518c95b738815792e3d8258f72fdf4e,"BTC, LTC"
221,351b82a9b3a6bc3a77baaeb38ab0e124,"BTC, ETH, LTC"
222,35c3504d435fb064a0872cb25766b731,"BTC, USD"
223,35f030624760321089397b90dbd607fb,BTC
224,36555fa5fce6c254eddf3248f6053447,"BTC, ETH, EUR, GBP, LTC"
225,36a3a12b8a48288d4fcc665fa4a82c45,BTC
226,37292943dd1fab7d7d71b36e2212c374,"BTC, ETH"
227,37582aba78ae1ef7dcf74ea4ce2de8c1,"BTC, LTC"
228,3766e0c7933404fc713bca21f5a1138a,BTC
229,377df111b301076db913208a5197b467,BTC
230,378f0ad64a0811c4f3444528fb328943,"BTC, ETH, LTC"
231,395cef880decbb13dc52dc8a914dd1f7,BTC
232,397ccc02f0e0b423be9dbb20ad249244,ETH
233,3a0e589bd7c17e25c6d6456df1d5b194,"BTC, ETH"
234,3a260fa07da8320f697b5eba30f76fa2,"BTC, ETH, LTC, USD"
235,3ad0433259db461a9c04bb2cae63f2e1,ETH
236,3b00745fe39243691daf8d17b4decef7,BTC
237,3b141d8efc4cec68ca444d5b9bac785b,BTC
238,3b2b4c0f5b1e8315915fec25f5b1be8b,BTC
239,3b3ef6dcf29673f9497e2e885e24a44e,"BTC, ETH, LTC"
240,3b5115f10a699f21efd738de3071110a,"BTC, ETH"
241,3b587aa83a1c0e5989a8405044a9090c,BTC
242,3bc686a0648f424777b9538ddad302f4,"BTC, EUR, LTC"
243,3bff435dc1ed1451a648e5f6518c4c86,BTC
244,3c87d1f6b6f1a46e3aa063f254d902f8,ETH
245,3c90a31ffb79846a78fcddcbac7a03d1,BTC
246,3ce433f1c191f34597ad7dae8b60c12c,"BTC, ETH, EUR, LTC"
247,3d28b80620f36f2344c4a44f9e1c3d3a,EUR
248,3d938da2f564fa01b7e21206fbc8232c,BTC
249,3dd980e67364684197c5304948a81e88,"ETH, EUR"
250,3de77a364a8a7edb3f3429f4cdbf50b6,BTC
251,3e48e77640724dacd7e00bb002ce2b31,BTC
252,3fb8df2ea1035b900c5d2d380f6685c8,"BTC, LTC"
253,3febbc53bf8f65100d1b9f6da52e85c5,"BTC, EUR"
254,4066f4b3b966b680aa2c3aaa5b770265,"BTC, ETH, LTC"
255,40a982bb7e6c2bc417071bde8c3b7e58,BTC
256,410032f003ca8f7ac291b685ba141f42,BTC
257,41565813ec0a60a2ee442c08664053e7,"BTC, ETH, EUR"
258,4208de92c03b401688dae1768f5e7512,BTC
259,42bf5ebe4fbf4d1d7f9e7f22f8a63fdb,BTC
260,430dd7b91a6efc6da77e77f131d4c02b,BTC
261,432caa80a6f8e36a6d17a9d6e744ebd0,BTC
262,437bec22d71d15faffbe017ab577817a,ETH
263,43893159b8e3ff6490aaaa4631168e74,BTC
264,43b17ef4b7d2dac2197e9622febcdb89,BTC
265,43c55bed7a0b4b9989f60ca7a3b9e442,BTC
266,43cb12aea0adfb33ad4203c11d1bb2f7,BTC
267,43ec831c32ab9b470446f49d63fc99af,BTC
268,44a741e976c58e0ba563e73bff1d6a12,BTC
269,44df8b45b776072fec17d78accd880df,BTC
270,4552eb5a7bc7cc26c16e72c709add5dd,"BTC, ETH, LTC, USD"
271,459e2f900569ff4be0f1d19a2c6b2df0,"BTC, ETH"
272,45af29bb0896cedeb170d7589ba3d174,BTC
273,45beadd0db2961f05da8e7521cd00116,BTC
274,4669164c2ab5fa495952831d5b083505,"ETH, LTC"
275,467ccaa908abf155a96bdc6826c6ca44,"BTC, ETH"
276,46e218bc8d1f139555b2e828dbfffbc4,BTC
277,474102ef3748efc53237ecad21af9b41,BTC
278,475e92a973f3c8963c092ceee4b826fe,BTC
279,4774bc1e2062db6648b4ebee92b2fef6,BTC
280,47a0e9934e3c36a8274685d5c1308ea3,"BTC, ETH, EUR, GBP"
281,47d113811246cb2e1c3b5c44b7ab2098,"BTC, GBP"
282,484e853911d2c6be9191d1b6f4026ab2,"BTC, ETH, USD"
283,48c036dcb9291e6800ab9eef22d289a7,BTC
284,48cc9779135b57b6a8d4052e93bb843a,"BTC, ETH, LTC"
285,48e077a9a49d2fc5a1a42ed43f8371ae,"BTC, LTC, USD"
286,48fe11b189a63b0f7108fd447050b82a,"ETH, EUR"
287,49612e1188e897b8cbc98143a8e11930,"LTC, USD"
288,49c0a65e8fc52a7902591d5be0316bbf,BTC
289,4a06ae4f7b47874e85493a27dc2f42df,"BTC, ETH"
290,4a24485c5e5c1e309e319f2cbc39100b,LTC
291,4a329de221c93b2fb25bf4f3ceec9556,BTC
292,4a4c197a45579febbfbfe345782d5be8,BTC
293,4ae3cb53aba0811c34afe2782c77b05d,BTC
294,4aff5d412b4aab1863f0fde85dd20bc6,BTC
295,4c3b6b2b82597a0051f12001b88e8a3e,BTC
296,4ca376da48358549ef9c8ccf1309bfb4,"BTC, ETH, LTC"
297,4cca2ac347436850cd0896edf5faf0ae,"BTC, ETH"
298,4d6538960fa993138515e6fd6f9a94b4,BTC
299,4dcae949219c6f885b9d62ed6ac1e97c,"BTC, ETH, LTC"
300,4dcb4a267dd79c5d1f0495808cf1b899,BTC
301,4dcf12844fea3e73976e234d5d524d04,BTC
302,4de11e42be168146d169581295a0314a,BTC
303,4e67e06d8edcc76933da6097644fc410,BTC
304,4f30308c33c85e5a456886014cd1d101,BTC
305,4f5363ff9e0bd3cbc7b0c5e883a7c370,BTC
306,504519fbd7b1d8d86f6624d31aa0ff84,"BTC, ETH, LTC"
307,50664996354b1a5eddf36adcf2028efa,BTC
308,5071310254468d837cf1ba82cc359931,"BTC, ETH, LTC, USD"
309,5096eeb9d888dea2cb7299359341ca42,BTC
310,50fa2e563e1d92479ff96843ab6787c2,ETH
311,50fb9f179f84fb291284fffd3cb579a4,BTC
312,510692eca99e66de7e1d9e01729cbebe,BTC
313,515aab0768fa8375ccf8a4cdb72564fa,BTC
314,51aabb204e27c2d67ac650ed07e3928c,"BTC, ETH, LTC"
315,5258f7d03be22667dcea4a6d9367b005,BTC
316,52721fff5990deeb0a06ec92a72cb887,BTC
317,52dad8408315cdcb6a9c81c8bb77cbf8,BTC
318,530a358a90806d4536ee55e189a8ad25,BTC
319,536d3b5bef55c666487ed19db0b426a4,"BTC, EUR"
320,5373af5aebe3961845324389c139569d,BTC
321,53a9176f484d28bacfed80c53c6ebbe1,"BTC, ETH, LTC, USD"
322,54278deaffbb2692d5f62b1bb4bbccfe,BTC
323,554899493381fbddd21e3246be10313d,BTC
324,56e0ea141fe36e3343173516d2cee412,BTC
325,580aa247550a937e04c7106246493831,BTC
326,581c2381f21cd1b64751eef577814c41,"ETH, LTC, USD"
327,5829f4cf3f92b0690c988ed0771f3edf,BTC
328,58623813d9bfb5ccf96466a1c90cfe42,BTC
329,5867ac641fb362074ac1bc6dde7f0c5f,BTC
330,597fc58f171fb9f39e85868ab16dc193,BTC
331,598604c41c31dbf7699fec30dbe84b54,"BTC, EUR"
332,59d76c6bff6e7996e4232ab9c7b2f9ad,"BTC, ETH, EUR, LTC"
333,5a012d92a25f1fdad70f1f18ad95550e,BTC
334,5a18d09b40c6fa8efd5acba2470cc864,"EUR, LTC"
335,5a58844acd272f8eb6ac58bbdfe00be4,BTC
336,5a71691509a5afdae4bc54c115af8f8b,BTC
337,5afa9205b7f2c5a867552fd457b3c9fd,BTC
338,5b0ec58841c6f5e5440fd96f8052daa9,BTC
339,5b0fe7b00412bfde4d0c236c488ddab9,EUR
340,5b2725548f3b713fa70e39bb7aec5e7e,"BTC, ETH, LTC, USD"
341,5b6059948043ccb65f3b5c846b174028,BTC
342,5b96da1a8dae6da9325181f801288c5d,BTC
343,5bc1f7e1864d5584095fe4784f735c38,EUR
344,5be19f11b4dcb65a38fc5c1b61545949,"BTC, LTC"
345,5bee9b9f5bb799e14fb63cb384ffedfe,BTC
346,5caf910b867a8bf2929cf2d0baa1bdab,BTC
347,5cc3c3f20a7516e3fa020b6a9b8559fd,BTC
348,5cf3594a42c4730deeb975f2826a4fc5,BTC
349,5d0fca8f2c327276ca0d64b017c543b1,BTC
350,5d1d4c39e7b1f50751d76718c34c15f4,"BTC, ETH, LTC"
351,5d1e4285622c606658956a2e2420f030,BTC
352,5e3240c732e5d7cf80836baa92863d4e,"BTC, EUR"
353,5e78e0c84f585578c629eb0f48ae136e,BTC
354,5e9f2070817c0ad69c57b956175acf41,"BTC, ETH"
355,5eae27aafbb3963fa5641aa1dc2246ff,"BTC, ETH, EUR"
356,5f26bff62e2730ad83859f74dd20d920,LTC
357,5f337bf244a69a97484613237ce7e1cd,"BTC, USD"
358,5f5d9a8ca405f3bce97271ad48d82176,BTC
359,5fae748684a430e684d6338e8b1d7856,BTC
360,6008fbf25d71e0f0e13f04764fa32055,BTC
361,60284bd2881f5c72d9b56808f535a6f8,"BTC, ETH, USD"
362,60671fac32d64b059eda5fb53e187fc9,BTC
363,60cdac8a5b106fe4505c79b8e9388478,"BTC, ETH"
364,60ed43ea8ddf6367a39423d355ff399d,"BTC, EUR"
365,615fd5df0042cb8e6ee2f9fa8295495f,"BTC, LTC"
366,618f8dc81cff705ebc30e11fd4e80e1a,BTC
367,619ddf27794d146c23ca2ab632a203e0,BTC
368,6247034239f8514eadd1db3363d49ddd,"BTC, ETH, LTC"
369,626d8e5df3ba290ae06c1029bfb26b4b,BTC
370,62f72f59ffd7489c4e9181e21e372da0,"BTC, ETH, LTC, USD"
371,63388f60319fb38fe63369ccc7d728fb,"BTC, ETH, EUR"
372,634006c0df4a137fde7b89bb28e3864b,BTC
373,63c831d7098022a87283afe15fcb9e73,BTC
374,63d782e8b0f5c93fa4cdcc1261bdaffe,BTC
375,63fe327dd433913547f768002891b587,BTC
376,643c770ba48172ed57ddcb02d0405d30,BTC
377,6447cad9323c0e90f7687f128d7634b4,"BTC, ETH, LTC"
378,645155235d745291a4b49b183c9da258,ETH
379,64a77bdd711f2332688f45fbe46fd089,BTC
